fly position,center of mass,laser status
124.28,124.28,0
131.43,131.43,0
137.22,137.22,0
144.77,144.77,0
152.59,152.59,0
159.68,159.68,0
163.08,163.08,0
166.95,166.95,0
170.69,170.69,0
176.72,176.72,0
182.55,182.55,0
189.96,189.96,0
198.41,198.41,0
208.56,208.56,0
217.88,217.88,0
222.65,222.65,0
228.01,228.01,0
231.13,231.13,0
232.87,232.87,0
234.96,234.96,0
239.52,239.52,0
247.66,247.66,0
257.08,257.08,0
267.08,267.08,0
273.69,273.69,0
281.31,281.31,0
288.8,288.8,0
295.45,295.45,0
295.87,295.87,0
294.55,294.55,0
295.97,295.97,0
303.71,303.71,0
311.81,311.81,0
319.97,319.97,0
327.11,327.11,0
333.15,333.15,0
337.07,337.07,0
334.88,334.88,0
338.42,338.42,0
343.04,343.04,0
348.89,348.89,0
358.35,358.35,0
364.21,364.21,0
372.64,372.64,0
375.72,375.72,0
376.69,376.69,0
378.88,378.88,0
383.09,383.09,0
388.73,388.73,0
394.94,394.94,0
403.19,403.19,0
410.81,410.81,0
415.39,415.39,0
411.79,411.79,0
413.36,413.36,0
420.13,420.13,0
428.82,428.82,0
436.36,436.36,0
444.2,444.2,0
450.21,450.21,0
457.01,457.01,0
456.26,456.26,0
456.66,456.66,0
457.89,457.89,0
461.35,461.35,0
464.5,464.5,0
468.46,468.46,0
475.37,475.37,0
486.11,486.11,0
495.15,495.15,0
505.79,505.79,0
503.44,503.44,0
502.19,502.19,0
503.96,503.96,0
508.07,508.07,0
511.43,511.43,0
513.65,513.65,0
517.72,517.72,0
523.24,523.24,0
528.83,528.83,0
535.89,535.89,0
543.85,543.85,0
555.08,555.08,0
563.25,563.25,0
574.28,574.28,0
587.06,587.06,0
588.39,588.39,0
592.37,592.37,0
592.62,592.62,0
593.56,593.56,0
591.29,591.29,0
600.65,600.65,0
602.56,602.56,0
603,603,0
606.08,606.08,0
615.2,615.2,0
622.47,622.47,0
628.88,628.88,0
633.99,633.99,0
643.57,643.57,0
646.25,646.25,0
647.63,647.63,0
650.05,650.05,0
650.8,650.8,0
655.45,655.45,0
661.59,661.59,0
665.77,665.77,0
668.17,668.17,0
675.46,675.46,0
679.91,679.91,0
691.07,691.07,0
701.58,701.58,0
708.63,708.63,0
713.01,713.01,0
709.41,709.41,0
709.57,709.57,0
708.75,708.75,0
713.71,713.71,0
718.97,718.97,0
724.23,724.23,0
728.29,728.29,0
730.56,730.56,0
734.05,734.05,0
738.4,738.4,0
742.48,742.48,0
745.38,745.38,0
749.49,749.49,0
750.29,750.29,0
749.92,749.92,0
749.32,749.32,0
753,753,0
755.62,755.62,0
758.6,758.6,0
760.47,760.47,0
761.7,761.7,0
762.66,762.66,0
764.23,764.23,0
764.14,764.14,0
764.14,NaN,0
764.14,NaN,0
764.14,NaN,0
764.14,NaN,0
764.14,NaN,0
764.14,NaN,0
764.14,NaN,0
764.14,NaN,0
764.14,NaN,0
764.14,NaN,0
764.14,NaN,0
764.14,NaN,0
764.14,NaN,0
764.14,NaN,0
764.14,725.58,0
764.14,NaN,0
764.14,722.98,0
764.14,NaN,0
764.14,NaN,0
764.14,NaN,0
764.14,NaN,0
764.14,NaN,0
764.14,NaN,0
764.14,NaN,0
764.14,NaN,0
764.14,NaN,0
764.14,764.42,0
752.4,752.4,0
737.8,737.8,0
741.25,741.25,0
730.27,730.27,0
730.27,NaN,0
730.27,NaN,0
730.27,NaN,0
730.27,NaN,0
730.27,725.53,0
730.27,NaN,0
730.27,NaN,0
730.27,717.68,0
716.57,716.57,0
714.22,714.22,0
714.05,714.05,0
712.16,712.16,0
708.96,708.96,0
704.64,704.64,0
701.2,701.2,0
697.97,697.97,0
693.53,693.53,0
693.03,693.03,0
691.28,691.28,0
687.2,687.2,0
685.44,685.44,0
681.74,681.74,0
677.31,677.31,0
672.87,672.87,0
663.38,663.38,0
657.19,657.19,0
655.59,655.59,0
654.2,654.2,0
650.54,650.54,0
645.58,645.58,0
641.86,641.86,0
637.58,637.58,0
634.58,634.58,0
629.29,629.29,0
622.65,622.65,0
616.27,616.27,0
612.29,612.29,0
608.91,608.91,0
605.33,605.33,0
600.45,600.45,0
596.56,596.56,0
592.97,592.97,0
588.15,588.15,0
583.64,583.64,0
579.95,579.95,0
575.36,575.36,0
572.67,572.67,0
569.1,569.1,0
563.88,563.88,0
556.72,556.72,0
549.05,549.05,0
544.53,544.53,0
539.04,539.04,0
534.05,534.05,0
527.67,527.67,0
521.41,521.41,0
514.43,514.43,0
511.91,511.91,0
509.17,509.17,0
507.1,507.1,0
501.35,501.35,0
497.78,497.78,0
491.87,491.87,0
484.9,484.9,0
476.79,476.79,0
468.95,468.95,0
460.15,460.15,0
454.08,454.08,0
453.58,453.58,0
450.59,450.59,0
444.96,444.96,0
439.8,439.8,0
434.65,434.65,0
427.38,427.38,0
420.47,420.47,0
413.15,413.15,0
406.04,406.04,0
397.45,397.45,0
388.84,388.84,0
381.13,381.13,0
376.51,376.51,0
374.77,374.77,0
372.59,372.59,0
367.47,367.47,0
362.74,362.74,0
357.74,357.74,0
351.14,351.14,0
343.15,343.15,0
340.48,340.48,0
336.65,336.65,0
330.03,330.03,0
323.4,323.4,0
314.96,314.96,0
308.76,308.76,0
301.71,301.71,0
294.62,294.62,0
286.79,286.79,0
279.04,279.04,0
271.19,271.19,0
267.23,267.23,0
261.79,261.79,0
256.21,256.21,0
259.53,259.53,0
261.48,261.48,0
254.17,254.17,0
246.64,246.64,0
235.72,235.72,0
231.4,231.4,0
224.05,224.05,0
218.61,218.61,0
214.74,214.74,0
208.3,208.3,0
201.16,201.16,0
194.6,194.6,0
184.44,184.44,0
186.39,186.39,0
188.37,188.37,0
185.54,185.54,0
186.8,186.8,0
180.24,180.24,0
176.8,176.8,0
169.16,169.16,0
159.98,159.98,0
159.2,159.2,0
159.61,159.61,0
153.74,153.74,0
148.25,148.25,0
140.17,140.17,0
133.33,133.33,0
125.63,125.63,0
115.43,115.43,0
106.3,106.3,0
96.871,96.871,0
87.897,87.897,0
82.637,82.637,0
77.564,77.564,0
73.809,73.809,0
69.313,69.313,0
64.486,64.486,0
60.91,60.91,0
55.684,55.684,0
50.681,50.681,0
48.968,48.968,0
47.123,47.123,0
45.775,45.775,0
42.671,42.671,0
40.07,40.07,0
38.302,38.302,0
38.564,38.564,0
33.995,33.995,0
32.021,32.021,0
30.805,30.805,0
30.343,30.343,0
28.409,28.409,0
25.401,25.401,0
24.317,24.317,0
19.872,19.872,0
18.055,18.055,0
19.212,19.212,0
22.166,22.166,0
22.166,NaN,0
22.166,NaN,0
22.166,NaN,0
22.166,NaN,0
22.166,NaN,0
22.166,NaN,0
22.166,NaN,0
22.166,NaN,0
22.166,NaN,0
22.166,NaN,0
22.166,23.249,0
32.345,32.345,0
46.471,46.471,0
45.54,45.54,0
45.54,NaN,0
45.54,NaN,0
45.54,NaN,0
45.54,NaN,0
45.54,NaN,0
45.54,NaN,0
45.54,NaN,0
45.54,NaN,0
45.54,NaN,0
45.54,NaN,0
